student_interest,student_country,student_language,student_target_degree,student_current_degree,student_gpa,student_lang_level,student_ielts,student_budget,student_study_mode,student_needs_scholarship,program_category,program_country,program_degree,program_tuition,program_language,program_study_mode,program_min_gpa,program_min_lang,program_min_ielts,program_scholarship,gpa_diff,budget_diff,lang_diff,ielts_diff,country_match,field_match,field_proximity,degree_compatible,study_mode_match,scholarship_match,match_score
BUSINESS,Latvia,English,BACHELOR,HIGH_SCHOOL,0.0,2,4.0,7000,ON_CAMPUS,1,DATA_SCIENCE,Italy,CERTIFICATE,3000,French,ON_CAMPUS,0.0,4,6.0,1,0.0,4000,-2,-2.0,0,0,0.0,1,1,1,0.3903
DATA_SCIENCE,Turkey,English,MASTER_OF_SCIENCE,HIGH_SCHOOL,0.0,3,5.2,5000,BLENDED,1,DATA_SCIENCE,Turkey,MASTER,8900,English,ON_CAMPUS,12.0,4,6.0,1,0.0,-3900,-1,-0.8,1,1,1.0,0,0,1,0.06799689901133019
EDUCATION,Turkey,ANY,MASTER,BACHELOR,13.3,4,6.2,6000,DISTANCE,0,ENGINEERING,Turkey,BACHELOR,3000,English,BLENDED,0.0,3,5.0,0,0.0,3000,1,1.2,1,0,0.0,0,0,0,0.032319057291673656
ARTIFICIAL_INTELLIGENCE,ANY,English,CERTIFICATE,HIGH_SCHOOL,0.0,4,6.3,6000,ON_CAMPUS,0,OTHER,Netherlands,MASTER_OF_ARTS,3200,English,DISTANCE,11.0,4,6.0,1,0.0,2800,0,0.3,1,0,0.0,0,0,0,0.0843311460642405
COMMUNICATION,Italy,ANY,MASTER,HIGH_SCHOOL,0.0,3,5.3,6000,ON_CAMPUS,0,FINANCE,Poland,BACHELOR,7700,English,ON_CAMPUS,0.0,3,5.5,0,0.0,-1700,0,-0.2,0,0,0.0,1,1,0,0.4485
EDUCATION,Turkey,German,CERTIFICATE,MASTER,14.7,3,4.8,6000,BLENDED,0,ARTS,France,DIPLOMA,10500,English,DISTANCE,0.0,4,5.0,0,0.0,-4500,-1,-0.2,0,0,0.0,1,0,0,0.2896
PSYCHOLOGY,Spain,French,MASTER,HIGH_SCHOOL,0.0,3,5.1,6000,DISTANCE,1,ARTS,Turkey,MASTER,2900,French,BLENDED,10.0,4,6.0,1,0.0,3100,-1,-0.9,0,0,0.0,0,0,1,0.04438325130953558
COMMUNICATION,ANY,ANY,BACHELOR,BACHELOR,10.9,4,6.0,5000,DISTANCE,0,FINANCE,Latvia,CERTIFICATE,3200,English,ON_CAMPUS,0.0,3,7.0,0,0.0,1800,1,-1.0,1,0,0.0,1,0,0,0.6518
ARTIFICIAL_INTELLIGENCE,Spain,English,MASTER,MASTER,11.2,6,8.0,4000,ON_CAMPUS,1,OTHER,Latvia,CERTIFICATE,3700,English,BLENDED,0.0,4,6.0,1,0.0,300,2,2.0,0,0,0.0,1,0,1,0.5
COMMUNICATION,ANY,English,MASTER,MASTER,14.9,4,6.4,10000,BLENDED,0,OTHER,Turkey,CERTIFICATE,3900,English,ON_CAMPUS,0.0,3,5.0,1,0.0,6100,1,1.4,1,0,0.0,1,0,0,0.6409
OTHER,ANY,English,BACHELOR,BACHELOR,11.8,4,6.0,7000,ON_CAMPUS,1,ENGINEERING,Spain,BACHELOR,6600,English,ON_CAMPUS,0.0,4,6.0,0,0.0,400,0,0.0,1,0,0.0,0,1,0,0.07422666894816288
OTHER,ANY,English,BACHELOR,MASTER,15.3,6,7.8,3000,BLENDED,0,MEDICINE,France,PHD,3000,English,ON_CAMPUS,13.0,4,6.0,0,2.3,0,2,1.8,1,0,0.0,1,0,0,0.63
OTHER,France,English,MASTER,MASTER,8.0,4,6.3,10000,ON_CAMPUS,0,FINANCE,Latvia,MASTER,4300,English,ON_CAMPUS,11.0,4,6.0,0,-3.0,5700,0,0.3,0,0,0.0,0,1,0,0.05992101671191796
DATA_SCIENCE,ANY,English,MASTER,HIGH_SCHOOL,0.0,4,6.3,6000,ON_CAMPUS,0,COMMUNICATION,Germany,MASTER,3400,English,BLENDED,11.0,5,6.0,1,0.0,2600,-1,0.3,1,0,0.0,0,0,0,0.042940437742782445
MARKETING,France,French,MASTER,MASTER,15.1,5,6.8,4000,ON_CAMPUS,0,FINANCE,Netherlands,BACHELOR,6400,English,ON_CAMPUS,0.0,3,5.0,0,0.0,-2400,2,1.8,0,0,0.0,0,1,0,0.0018066103922728324
LAW,Spain,English,MASTER,HIGH_SCHOOL,0.0,3,5.1,3000,ON_CAMPUS,1,ARTIFICIAL_INTELLIGENCE,Netherlands,MASTER,6000,French,ON_CAMPUS,11.0,4,6.0,0,0.0,-3000,-1,-0.9,0,0,0.0,0,1,0,0.004307712833589411
MEDICINE,ANY,English,MASTER,MASTER,10.2,5,7.0,5000,DISTANCE,1,COMPUTER_SCIENCE,Germany,DIPLOMA,15900,English,BLENDED,0.0,3,7.0,0,0.0,-10900,2,0.0,1,0,0.0,1,0,0,0.4781
EDUCATION,ANY,French,MASTER,BACHELOR,13.0,4,6.1,8000,BLENDED,1,FINANCE,Latvia,MASTER,4300,English,ON_CAMPUS,11.0,4,6.0,1,2.0,3700,0,0.1,1,0,0.0,1,0,1,0.6692
PSYCHOLOGY,Latvia,English,MBA,HIGH_SCHOOL,0.0,3,4.5,4000,ON_CAMPUS,1,MEDICINE,Netherlands,BACHELOR,5100,French,ON_CAMPUS,0.0,3,6.5,0,0.0,-1100,0,-2.0,0,0,0.4,1,1,0,0.4742
ARTS,Latvia,ANY,PHD,PHD,12.6,4,6.2,7000,BLENDED,0,ARTIFICIAL_INTELLIGENCE,Latvia,BACHELOR,5900,French,ON_CAMPUS,0.0,3,6.5,0,0.0,1100,1,-0.3,1,0,0.0,0,0,0,0.04432377021512969
BUSINESS,Germany,English,MASTER,BACHELOR,8.3,4,5.9,6000,ON_CAMPUS,1,ARCHITECTURE,Poland,MASTER,7900,English,DISTANCE,11.0,4,6.0,0,-2.7,-1900,0,-0.1,0,0,0.0,1,0,0,0.4214
MEDICINE,ANY,French,MASTER,MASTER,15.5,3,5.2,6000,ON_CAMPUS,0,COMMUNICATION,France,MASTER,5500,English,ON_CAMPUS,11.0,4,6.0,0,4.5,500,-1,-0.8,1,0,0.0,0,1,0,0.022725271487446276
COMMUNICATION,Netherlands,English,BACHELOR,BACHELOR,10.1,4,5.8,5000,ON_CAMPUS,0,DATA_SCIENCE,Poland,MASTER_OF_ARTS,6800,French,BLENDED,10.0,5,5.5,1,0.1,-1800,-1,0.3,0,0,0.0,1,0,0,0.3035
ARTS,Spain,French,MASTER,HIGH_SCHOOL,0.0,2,3.9,8000,BLENDED,1,EDUCATION,Italy,PHD,5400,English,ON_CAMPUS,14.0,4,6.5,0,0.0,2600,-2,-2.6,0,0,0.0,0,0,0,0.04221225945909186
BUSINESS,Turkey,English,MASTER_OF_ARTS,HIGH_SCHOOL,0.0,2,3.5,6000,BLENDED,1,ARTS,Latvia,MBA,6400,English,ON_CAMPUS,10.0,5,5.5,0,0.0,-400,-3,-2.0,0,0,0.0,0,0,0,0.032985104961938155
FINANCE,Germany,French,MASTER,BACHELOR,15.8,4,6.3,6000,ON_CAMPUS,0,COMPUTER_SCIENCE,Poland,PHD,3400,English,DISTANCE,13.0,5,6.0,0,2.8,2600,-1,0.3,0,0,0.0,0,0,0,0.03816253045290215
ARTS,Italy,English,PHD,PHD,16.1,4,5.3,4000,ON_CAMPUS,0,MARKETING,Poland,BACHELOR,3800,French,BLENDED,0.0,3,5.5,0,0.0,200,1,-0.2,0,0,0.0,0,0,0,0.03028300045647519
EDUCATION,ANY,English,MASTER,MASTER,10.7,2,3.5,8000,ON_CAMPUS,1,PSYCHOLOGY,Germany,MASTER_OF_SCIENCE,6000,German,BLENDED,11.0,4,5.0,0,-0.3,2000,-2,-1.5,1,0,0.5,0,0,0,0.10294060802788156
ARTS,Germany,French,MASTER,BACHELOR,13.3,4,6.0,3000,ON_CAMPUS,0,DATA_SCIENCE,Germany,MASTER,7600,French,ON_CAMPUS,10.0,5,6.5,0,3.3,-4600,-1,-0.5,1,0,0.0,1,1,0,0.6526
COMMUNICATION,Germany,French,BACHELOR,BACHELOR,11.3,4,5.7,7000,DISTANCE,0,EDUCATION,Latvia,MASTER,3700,English,ON_CAMPUS,11.0,3,5.5,0,0.3,3300,1,0.2,0,0,0.0,1,0,0,0.3845
FINANCE,Turkey,ANY,BACHELOR,HIGH_SCHOOL,0.0,3,4.7,6000,ON_CAMPUS,1,COMMUNICATION,Germany,MASTER,8800,English,BLENDED,10.0,5,5.0,1,0.0,-2800,-2,-0.3,0,0,0.0,0,0,1,0.08160925389823519
DATA_SCIENCE,ANY,English,CERTIFICATE,BACHELOR,17.9,4,6.0,4000,ON_CAMPUS,1,OTHER,Netherlands,MASTER,8400,English,DISTANCE,12.0,5,6.5,0,5.9,-4400,-1,-0.5,1,0,0.0,1,0,0,0.5502
FINANCE,Latvia,English,MASTER_OF_ARTS,BACHELOR,15.3,6,8.1,7000,DISTANCE,0,HOSPITALITY,Poland,MASTER,7900,German,DISTANCE,11.0,3,6.0,0,4.3,-900,3,2.1,0,0,0.0,1,1,0,0.4667
COMMUNICATION,Germany,English,MBA,MASTER,15.3,2,3.8,6000,ON_CAMPUS,0,COMMUNICATION,France,BACHELOR,5400,English,ON_CAMPUS,0.0,3,6.5,0,0.0,600,-1,-2.7,0,1,1.0,0,1,0,0.05768484375301474
LAW,ANY,English,BACHELOR,HIGH_SCHOOL,0.0,2,4.0,5000,ON_CAMPUS,1,LAW,Spain,MASTER,5400,French,ON_CAMPUS,11.0,4,5.0,0,0.0,-400,-2,-1.0,1,1,1.0,0,1,0,0.019816523207495128
DESIGN,ANY,English,MASTER,HIGH_SCHOOL,0.0,1,3.0,3000,ON_CAMPUS,0,MARKETING,Poland,PHD,8800,English,ON_CAMPUS,13.0,5,5.5,0,0.0,-5800,-4,-2.5,1,0,0.0,0,1,0,0.08501308743150908
MEDICINE,ANY,ANY,MASTER_OF_SCIENCE,BACHELOR,17.1,3,4.8,4000,ON_CAMPUS,0,OTHER,Poland,MASTER_OF_ARTS,5300,French,ON_CAMPUS,11.0,4,6.0,0,6.1,-1300,-1,-1.2,1,0,0.0,1,1,0,0.4801
DESIGN,Germany,English,DIPLOMA,HIGH_SCHOOL,0.0,4,6.0,5000,ON_CAMPUS,1,FINANCE,Italy,CERTIFICATE,2100,English,BLENDED,0.0,4,6.0,1,0.0,2900,0,0.0,0,0,0.0,1,0,1,0.5963
ARTS,ANY,French,MASTER_OF_ARTS,HIGH_SCHOOL,0.0,4,5.0,6000,ON_CAMPUS,0,DESIGN,Turkey,PHD,8200,French,BLENDED,14.0,6,6.0,0,0.0,-2200,-2,-1.0,1,0,0.6,0,0,0,0.023893302735694653
ARTIFICIAL_INTELLIGENCE,France,French,PHD,MASTER,12.6,4,6.0,7000,ON_CAMPUS,1,ARTS,Netherlands,BACHELOR,5500,English,ON_CAMPUS,0.0,3,6.5,1,0.0,1500,1,-0.5,0,0,0.0,0,1,1,0.08559162236645865
ARTIFICIAL_INTELLIGENCE,ANY,English,PHD,BACHELOR,12.4,3,5.2,4000,ON_CAMPUS,0,FINANCE,Turkey,MASTER,9000,English,ON_CAMPUS,12.0,3,6.0,0,0.4,-5000,0,-0.8,1,0,0.0,1,1,0,0.5938
ENGINEERING,Latvia,English,CERTIFICATE,HIGH_SCHOOL,0.0,4,6.3,5000,ON_CAMPUS,0,ENGINEERING,Netherlands,BACHELOR,6300,French,BLENDED,0.0,4,5.5,0,0.0,-1300,0,0.8,0,1,1.0,1,0,0,0.5172
DATA_SCIENCE,Spain,ANY,MASTER,HIGH_SCHOOL,0.0,3,5.0,6000,DISTANCE,1,PSYCHOLOGY,France,BACHELOR,6000,French,ON_CAMPUS,0.0,3,7.0,1,0.0,0,0,-2.0,0,0,0.0,1,0,1,0.4617
PSYCHOLOGY,Netherlands,English,CERTIFICATE,MASTER,14.8,5,7.2,7000,BLENDED,0,ARTIFICIAL_INTELLIGENCE,Latvia,MASTER,7600,English,ON_CAMPUS,10.0,3,5.0,0,4.8,-600,2,2.2,0,0,0.0,0,0,0,0.07521930646966173
MARKETING,Latvia,ANY,PHD,HIGH_SCHOOL,0.0,3,4.8,3000,BLENDED,0,DESIGN,Latvia,CERTIFICATE,3800,English,ON_CAMPUS,0.0,4,5.0,0,0.0,-800,-1,-0.2,1,0,0.3,1,0,0,0.5695
COMMUNICATION,Latvia,English,MASTER,MASTER,10.1,6,8.0,8000,ON_CAMPUS,0,OTHER,Poland,MBA,6600,English,BLENDED,12.0,4,5.0,0,-1.9,1400,2,3.0,0,0,0.0,1,0,0,0.491
FINANCE,ANY,ANY,BACHELOR,HIGH_SCHOOL,0.0,3,5.2,7000,DISTANCE,0,DESIGN,Spain,DIPLOMA,13300,French,ON_CAMPUS,0.0,4,5.0,1,0.0,-6300,-1,0.2,1,0,0.0,1,0,0,0.4597
PSYCHOLOGY,Poland,French,PHD,HIGH_SCHOOL,0.0,4,5.7,7000,ON_CAMPUS,0,COMPUTER_SCIENCE,Turkey,CERTIFICATE,1700,English,ON_CAMPUS,0.0,4,5.5,0,0.0,5300,0,0.2,0,0,0.0,1,1,0,0.4335
OTHER,Spain,French,MASTER_OF_ARTS,MASTER,15.3,4,6.3,5000,ON_CAMPUS,1,PSYCHOLOGY,Germany,MASTER_OF_SCIENCE,7500,English,ON_CAMPUS,11.0,4,6.5,1,4.3,-2500,0,-0.2,0,0,0.0,0,1,1,0.06482090558848216
DATA_SCIENCE,France,English,MASTER,HIGH_SCHOOL,0.0,3,5.1,12000,ON_CAMPUS,0,OTHER,Germany,MASTER_OF_ARTS,3000,English,ON_CAMPUS,11.0,4,6.5,1,0.0,9000,-1,-1.4,0,0,0.0,0,1,0,0.1015029644094316
ARCHITECTURE,Spain,French,BACHELOR,BACHELOR,16.8,3,5.1,5000,ON_CAMPUS,0,EDUCATION,Turkey,CERTIFICATE,2400,English,ON_CAMPUS,0.0,3,6.5,0,0.0,2600,0,-1.4,0,0,0.0,1,1,0,0.445
DESIGN,ANY,French,CERTIFICATE,BACHELOR,13.4,4,6.3,3000,ON_CAMPUS,1,MARKETING,Spain,MASTER,6300,English,DISTANCE,13.0,4,7.0,1,0.4,-3300,0,-0.7,1,0,0.0,1,0,1,0.417
COMMUNICATION,France,English,CERTIFICATE,MASTER,14.1,4,5.4,7000,BLENDED,1,MEDICINE,Turkey,BACHELOR,3300,German,ON_CAMPUS,0.0,4,6.0,0,0.0,3700,0,-0.6,0,0,0.0,0,0,0,0.1381325854150332
ARTIFICIAL_INTELLIGENCE,ANY,French,BACHELOR,BACHELOR,13.5,5,7.1,4000,BLENDED,1,MEDICINE,Netherlands,MBA,14900,German,ON_CAMPUS,10.0,4,6.5,0,3.5,-10900,1,0.6,1,0,0.0,1,0,0,0.5307
DESIGN,ANY,English,DIPLOMA,MASTER,14.1,4,6.4,8000,ON_CAMPUS,1,FINANCE,Turkey,MASTER_OF_SCIENCE,7200,English,ON_CAMPUS,11.0,4,6.0,0,3.1,800,0,0.4,1,0,0.0,0,1,0,0.01317176554589023
DESIGN,ANY,English,DIPLOMA,BACHELOR,13.1,3,4.9,6000,ON_CAMPUS,0,ENGINEERING,Poland,BACHELOR,4500,English,ON_CAMPUS,0.0,3,6.0,0,0.0,1500,0,-1.1,1,0,0.0,0,1,0,0.06784263024995858
FINANCE,ANY,English,MASTER,PHD,15.1,2,4.2,4000,ON_CAMPUS,1,COMPUTER_SCIENCE,Poland,MASTER_OF_SCIENCE,9500,English,ON_CAMPUS,11.0,4,6.5,0,4.1,-5500,-2,-2.3,1,0,0.0,0,1,0,0.05843574271908128
LAW,Italy,English,PHD,BACHELOR,12.7,4,6.0,4000,ON_CAMPUS,0,COMMUNICATION,France,MASTER,5300,English,ON_CAMPUS,10.0,5,6.0,0,2.7,-1300,-1,0.0,0,0,0.0,1,1,0,0.5263
DATA_SCIENCE,Italy,English,PHD,BACHELOR,14.1,3,5.2,7000,DISTANCE,0,DATA_SCIENCE,Netherlands,DIPLOMA,6900,English,DISTANCE,0.0,4,6.0,0,0.0,100,-1,-0.8,0,1,1.0,1,1,0,0.6973
COMMUNICATION,Germany,French,MASTER,HIGH_SCHOOL,0.0,3,4.8,6000,DISTANCE,1,OTHER,Germany,MBA,12100,German,ON_CAMPUS,11.0,4,5.0,0,0.0,-6100,-1,-0.2,1,0,0.0,0,0,0,0.030710053295573646
ARTS,France,English,MASTER,BACHELOR,12.1,2,3.9,8000,BLENDED,0,ARTS,Italy,DIPLOMA,5900,English,BLENDED,0.0,4,5.5,0,0.0,2100,-2,-1.6,0,1,1.0,1,1,0,0.655
FINANCE,ANY,English,MASTER,PHD,9.7,5,7.3,3000,ON_CAMPUS,0,HOSPITALITY,Italy,PHD,7700,English,ON_CAMPUS,14.0,5,5.5,0,-4.3,-4700,0,1.8,1,0,0.0,0,1,0,0.0
LAW,Latvia,ANY,MASTER_OF_SCIENCE,MASTER,16.0,4,6.0,6000,ON_CAMPUS,1,COMMUNICATION,France,BACHELOR,3700,English,ON_CAMPUS,0.0,3,5.5,0,0.0,2300,1,0.5,0,0,0.0,0,1,0,0.03347818927734089
ARCHITECTURE,Netherlands,French,MASTER,MASTER,15.0,5,7.1,6000,ON_CAMPUS,0,LAW,Spain,MBA,6400,French,ON_CAMPUS,11.0,4,5.0,1,4.0,-400,1,2.1,0,0,0.0,1,1,0,0.5035
BUSINESS,Turkey,ANY,MASTER,HIGH_SCHOOL,0.0,5,7.2,6000,BLENDED,0,COMMUNICATION,Turkey,BACHELOR,4600,English,ON_CAMPUS,0.0,4,6.0,1,0.0,1400,1,1.2,1,0,0.3,1,0,0,0.746
MEDICINE,ANY,English,BACHELOR,HIGH_SCHOOL,0.0,4,6.1,10000,BLENDED,1,EDUCATION,France,MASTER,4000,English,BLENDED,11.0,3,7.0,1,0.0,6000,1,-0.9,1,0,0.0,0,1,1,0.020914283314400633
ARTIFICIAL_INTELLIGENCE,Latvia,French,BACHELOR,HIGH_SCHOOL,0.0,2,3.8,7000,ON_CAMPUS,1,DATA_SCIENCE,Spain,BACHELOR,7100,English,BLENDED,0.0,4,5.5,0,0.0,-100,-2,-1.7,0,0,0.7,1,0,0,0.4649
MEDICINE,France,English,PHD,BACHELOR,12.0,6,7.7,4000,ON_CAMPUS,0,DATA_SCIENCE,Turkey,BACHELOR,3800,English,ON_CAMPUS,0.0,3,5.5,0,0.0,200,3,2.2,0,0,0.0,0,1,0,0.0
ARTS,Germany,ANY,MASTER_OF_SCIENCE,HIGH_SCHOOL,0.0,2,4.0,8000,DISTANCE,1,DESIGN,Latvia,CERTIFICATE,1400,French,ON_CAMPUS,0.0,3,5.5,0,0.0,6600,-1,-1.5,0,0,0.6,1,0,0,0.6679
DATA_SCIENCE,Italy,German,MASTER,BACHELOR,11.5,5,7.4,3000,BLENDED,1,COMPUTER_SCIENCE,Poland,BACHELOR,2800,English,ON_CAMPUS,0.0,4,5.5,0,0.0,200,1,1.9,0,0,0.7,0,0,0,0.09684533590180558
ARTS,ANY,English,BACHELOR,PHD,11.5,5,7.4,6000,ON_CAMPUS,0,COMPUTER_SCIENCE,Latvia,MASTER,5300,English,ON_CAMPUS,12.0,4,5.0,0,-0.5,700,1,2.4,1,0,0.0,0,1,0,0.07886598063785352
COMMUNICATION,Latvia,French,PHD,HIGH_SCHOOL,0.0,2,4.0,6000,BLENDED,0,DESIGN,Latvia,BACHELOR,7600,English,ON_CAMPUS,0.0,3,5.5,1,0.0,-1600,-1,-1.5,1,0,0.0,1,0,0,0.5058
FINANCE,Germany,English,PHD,BACHELOR,12.6,4,5.6,8000,ON_CAMPUS,0,EDUCATION,Latvia,PHD,4000,German,ON_CAMPUS,14.0,5,5.5,1,-1.4,4000,-1,0.1,0,0,0.0,0,1,0,0.08406455049088311
EDUCATION,ANY,German,PHD,BACHELOR,11.7,4,6.2,8000,BLENDED,1,DATA_SCIENCE,Netherlands,BACHELOR,5600,English,ON_CAMPUS,0.0,3,6.5,0,0.0,2400,1,-0.3,1,0,0.0,0,0,0,0.03934064341646199
MARKETING,Germany,French,BACHELOR,HIGH_SCHOOL,0.0,4,6.2,7000,ON_CAMPUS,0,OTHER,Italy,MASTER_OF_ARTS,2600,English,DISTANCE,10.0,4,5.5,0,0.0,4400,0,0.7,0,0,0.0,0,0,0,0.03637431325065453
COMPUTER_SCIENCE,ANY,English,MBA,MASTER,10.9,6,7.8,7000,ON_CAMPUS,1,COMMUNICATION,Spain,BACHELOR,3400,English,DISTANCE,0.0,3,6.0,0,0.0,3600,3,1.8,1,0,0.0,0,0,0,0.0
OTHER,Netherlands,French,BACHELOR,HIGH_SCHOOL,0.0,3,4.9,6000,BLENDED,0,HOSPITALITY,Turkey,CERTIFICATE,4300,English,ON_CAMPUS,0.0,3,6.0,1,0.0,1700,0,-1.1,0,0,0.0,1,0,0,0.4155
HOSPITALITY,Poland,English,MBA,HIGH_SCHOOL,0.0,3,5.1,5000,DISTANCE,0,ARCHITECTURE,France,PHD,6300,English,BLENDED,15.0,4,6.0,0,0.0,-1300,-1,-0.9,0,0,0.0,0,0,0,0.06730274198579217
DATA_SCIENCE,Turkey,German,MASTER_OF_SCIENCE,BACHELOR,11.5,4,5.6,6000,ON_CAMPUS,0,DESIGN,Italy,CERTIFICATE,1000,English,ON_CAMPUS,0.0,4,5.5,0,0.0,5000,0,0.1,0,0,0.0,1,1,0,0.444
MARKETING,Germany,English,MASTER,HIGH_SCHOOL,0.0,1,3.0,3000,BLENDED,0,EDUCATION,Latvia,PHD,3200,English,ON_CAMPUS,13.0,5,6.5,1,0.0,-200,-4,-3.5,0,0,0.0,0,0,0,0.07360908696664986
MARKETING,ANY,German,CERTIFICATE,BACHELOR,10.8,3,4.9,8000,ON_CAMPUS,0,PSYCHOLOGY,Latvia,BACHELOR,5000,English,ON_CAMPUS,0.0,4,6.5,0,0.0,3000,-1,-1.6,1,0,0.0,0,1,0,0.07780162993314574
EDUCATION,Turkey,English,PHD,HIGH_SCHOOL,0.0,4,6.1,4000,ON_CAMPUS,1,HOSPITALITY,Latvia,MASTER,9500,French,ON_CAMPUS,11.0,3,6.0,0,0.0,-5500,1,0.1,0,0,0.0,0,1,0,0.05105443644273526
OTHER,Latvia,English,MASTER,BACHELOR,13.1,5,6.8,6000,ON_CAMPUS,1,MARKETING,Germany,PHD,8200,German,ON_CAMPUS,14.0,4,6.5,0,-0.9,-2200,1,0.3,0,0,0.0,0,1,0,0.02336725984366295
LAW,ANY,French,DIPLOMA,HIGH_SCHOOL,0.0,3,5.0,5000,ON_CAMPUS,0,DESIGN,Spain,CERTIFICATE,3000,English,ON_CAMPUS,0.0,3,6.0,1,0.0,2000,0,-1.0,1,0,0.0,1,1,0,0.5624
EDUCATION,ANY,ANY,BACHELOR,BACHELOR,15.4,4,6.1,5000,ON_CAMPUS,1,ARTIFICIAL_INTELLIGENCE,Italy,DIPLOMA,6900,English,ON_CAMPUS,0.0,4,6.5,0,0.0,-1900,0,-0.4,1,0,0.0,1,1,0,0.4541
ARTIFICIAL_INTELLIGENCE,Poland,ANY,CERTIFICATE,BACHELOR,12.8,6,8.1,7000,BLENDED,1,DATA_SCIENCE,Germany,MBA,13200,English,DISTANCE,10.0,3,6.5,0,2.8,-6200,3,1.6,0,0,0.7,1,0,0,0.4897
